Scenario,Monthly Generations,Page Views Per User,Total Page Views,Effective Page Views (70%),AdSense RPM,AdSense Revenue,Newsletter Subscribers,Subscriber Conversion Rate,Newsletter Sponsor Revenue,Newsletter Affiliate Revenue,Total Newsletter Revenue,Total Monthly Revenue,AI Costs (Low),AI Costs (High),Infrastructure Costs,Total Costs (Low),Total Costs (High),Net Profit (Low),Net Profit (High),Revenue Per Generation,Cost Per Generation (Avg),Profit Per Generation (Avg)

Current Model - Low Traffic,1000,4,4000,2800,$5.00,$14,600,60%,$48,$150,$198,$212,$500,$1000,$75,$575,$1075,-$363,-$863,$0.21,$0.79,-$0.58
Current Model - Medium Traffic,5000,6,30000,21000,$5.00,$105,3000,60%,$240,$750,$990,$1095,$2500,$5000,$100,$2600,$5100,-$1505,-$4005,$0.22,$0.76,-$0.54
Current Model - High Traffic,10000,8,80000,56000,$5.00,$280,6000,60%,$480,$1500,$1980,$2260,$5000,$10000,$150,$5150,$10150,-$2890,-$7890,$0.23,$0.76,-$0.53
Current Model - Aggressive Traffic,50000,8,400000,280000,$5.00,$1400,30000,60%,$2400,$7500,$9900,$11300,$25000,$50000,$500,$25500,$50500,-$14200,-$39200,$0.23,$0.76,-$0.53

Freemium Model - Year 1 (Month 3),300,6,1800,1260,$5.00,$6,180,60%,$14,$45,$59,$65,$150,$300,$75,$225,$375,-$160,-$310,$0.22,$0.83,-$0.62
Freemium Model - Year 1 (Month 6),1000,6,6000,4200,$5.00,$21,600,60%,$48,$150,$198,$219,$500,$1000,$75,$575,$1075,-$356,-$856,$0.22,$0.79,-$0.57
Freemium Model - Year 1 (Month 9),2500,6,15000,10500,$5.00,$53,1500,60%,$120,$375,$495,$548,$1250,$2500,$100,$1350,$2600,-$802,-$2052,$0.22,$0.79,-$0.57
Freemium Model - Year 1 (Month 12),5000,6,30000,21000,$5.00,$105,3000,60%,$240,$750,$990,$1095,$2500,$5000,$100,$2600,$5100,-$1505,-$4005,$0.22,$0.76,-$0.54

Freemium Model - Year 2 (Month 18),10000,8,80000,56000,$5.00,$280,6000,60%,$480,$1500,$1980,$2260,$5000,$10000,$150,$5150,$10150,-$2890,-$7890,$0.23,$0.76,-$0.53
Freemium Model - Year 2 (Month 24),20000,8,160000,112000,$5.00,$560,12000,60%,$960,$3000,$3960,$4520,$10000,$20000,$200,$10200,$20200,-$5680,-$15680,$0.23,$0.76,-$0.53

B2B Church Model - 50 Churches,2500,6,15000,10500,$5.00,$53,1500,60%,$120,$375,$495,$548,$1250,$2500,$100,$1350,$2600,$0,$0,$0.22,$0.79,$0.00
